file,n_points,n_peaks_detected,Q101_tt_med_preOffset,Q101_I_med_preOffset,applied_offset_deg,measured_quartz_101_2theta,has_calcite,max_calcite_intensity,baseline_mode,bg_window_deg,asls_lam,asls_p,tt_015,I_015,FWHM_015,tt_021,I_021,FWHM_021,tt_101,I_101,FWHM_101,tt_104,I_104,FWHM_104,tt_110,I_110,FWHM_110,tt_113,I_113,FWHM_113,I015_over_I110,I021_over_I110,HWHM_015,delta_tt_104
data/BD_9_8.xrdml,7779,679,27.27194385,25,0.0942,26.02695431,FALSE,43,median,0.6,100000,0.01,35.31613189,40,0.052111711,43.69683332,26,0.009957131,21.79671521,30,0.008355635,30.97955756,456,0.174884962,37.43010742,60,0.040047363,41.11494225,118,0.144763067,0.666666667,0.433333333,0.026055856,-0.027742436
data/Dolomite_100.xrdml,8378,22,26.35282405,21,0.0942,26.35282405,FALSE,28,median,0.6,100000,0.01,35.25764244,211,0.142849213,43.73861149,92,0.175117248,22.00560607,58,0.067769811,30.92106812,5248,0.168919111,37.29641727,237,0.147610678,41.07316408,2112,0.151701166,0.890295359,0.388185654,0.071424607,-0.08623188
data/KDE_179_9.xrdml,7779,534,26.76225014,305,0.0942,26.76225014,FALSE,36,median,0.6,100000,0.01,35.42475514,55,0.015618683,43.94750236,38,0.016400894,22.2061413,34,0.012997654,31.02969137,730,0.176636769,37.46352996,81,0.040060045,41.1984986,199,0.146211495,0.679012346,0.469135802,0.007809342,0.022391371
data/KDE_274.xrdml,7779,121,26.73718324,29,0.0942,26.73718324,FALSE,27,median,0.6,100000,0.01,35.40804387,83,0.030529512,43.86394601,63,0.052248378,22.04738425,46,0.019367932,31.02133574,1842,0.173996338,37.43010742,163,0.129221501,41.19014296,385,0.1725886,0.509202454,0.386503067,0.015264756,0.014035737
data/KDE_293_5.xrdml,7779,90,26.17735573,34,0.0942,26.17735573,FALSE,66,median,0.6,100000,0.01,35.4414664,113,0.033943706,43.94750236,58,0.032582977,22.11422932,39,0.058549468,31.03804701,2001,0.181741932,37.4718856,159,0.126388795,41.24027677,437,0.170391724,0.710691824,0.364779874,0.016971853,0.030747006
data/KDW2_131.8A_g2.xrdml,4787,133,26.76642784,30,0.0942,26.76642784,FALSE,22,median,0.6,100000,0.01,35.29524263,50,0.027673576,43.767856,51,0.024960507,22.00978379,37,0.021346657,30.96702397,964,0.162065292,37.38415125,66,0.108596723,41.16089804,236,0.156740178,0.757575758,0.772727273,0.013836788,-0.040276033
data/KDW2_64_8.xrdml,7779,454,26.77896141,844,0.0942,26.77896141,FALSE,88,median,0.6,100000,0.01,35.36626569,46,0.014206825,43.89736855,39,0.018268456,22.01396171,30,0.013530431,31.0129801,812,0.182143003,37.46352996,84,0.015109772,41.21520987,235,0.133770495,0.547619048,0.464285714,0.007103412,0.005680102
data/MD2_120_1.xrdml,7779,339,26.83745086,56,0.0942,26.83745086,FALSE,25,median,0.6,100000,0.01,35.4414664,42,0.020332044,43.93079109,45,0.017904931,22.22285257,33,0.01656168,31.02969137,1044,0.186751518,37.46352996,99,0.14327128,41.24027677,243,0.169509579,0.424242424,0.454545455,0.010166022,0.022391371
data/MD2_180_1.xrdml,7779,366,26.82073959,140,0.0942,26.82073959,FALSE,29,median,0.6,100000,0.01,35.37462133,59,0.018002911,43.87230165,42,0.026854527,22.03067298,40,0.018277951,31.02133574,1024,0.182065145,37.45517433,101,0.027243174,41.24027677,218,0.178964499,0.584158416,0.415841584,0.009001455,0.014035737
data/MD6_258.6_ooid.xrdml,4787,444,26.78313911,38,0.0942,26.78313911,FALSE,23,median,0.6,100000,0.01,35.42893278,30,0.032378084,43.91825743,27,0.089786423,22.16018522,24,0.016711269,31.01715777,390,0.181522735,37.45099633,60,0.068126906,41.19432058,109,0.170005025,0.5,0.45,0.016189042,0.009857774
data/MD6_259_5.xrdml,7779,554,26.77060578,169,0.0942,26.77060578,FALSE,30,median,0.6,100000,0.01,35.42475514,46,0.0091566,43.89736855,45,0.012589405,22.13094059,31,0.010064742,31.00462447,675,0.172971008,37.40504052,76,0.046855827,41.1984986,180,0.161380337,0.605263158,0.592105263,0.0045783,-0.002675533
data/MD6_259.5_g2.xrdml,4787,243,26.7330053,183,0.0942,26.7330053,FALSE,29,median,0.6,100000,0.01,35.32866517,54,0.021306868,43.88483489,43,0.026560585,22.12676268,32,0.019320383,30.98373524,735,0.186751924,37.43428506,81,0.161685098,41.19432058,222,0.17320716,0.666666667,0.530864198,0.010653434,-0.023564764
data/MDE_118_6.xrdml,7779,188,26.4363804,20,0.0942,26.01859867,FALSE,28,median,0.6,100000,0.01,35.4163995,69,0.115983204,43.91407982,46,0.011860816,22.18943003,51,0.018774703,31.07982518,1413,0.164687765,37.48859687,131,0.112369421,41.27369931,336,0.169950084,0.526717557,0.351145038,0.057991602,0.072525178
data/MDE_156_3.xrdml,7779,138,26.77896141,40,0.0942,26.77896141,FALSE,29,median,0.6,100000,0.01,35.31613189,84,0.018904276,43.80545657,56,0.032251831,22.13094059,41,0.045929209,31.00462447,1674,0.17481195,37.40504052,153,0.13546063,41.21520987,376,0.169708001,0.549019608,0.366013072,0.009452138,-0.002675533
data/MDE_175_3.xrdml,7779,158,26.79567268,115,0.0942,26.79567268,FALSE,43,median,0.6,100000,0.01,35.35791006,77,0.131328262,43.83887911,76,0.015739684,22.16436313,57,0.009354678,31.02133574,1626,0.180203792,37.44681869,155,0.131195858,41.19014296,374,0.164684558,0.496774194,0.490322581,0.065664131,0.014035737
data/MDE_182_1.xrdml,7779,535,27.05469735,23,0.0942,27.05469735,TRUE,195,median,0.6,100000,0.01,35.37462133,41,0.01927493,43.81381221,28,0.018954912,22.13929623,35,0.012935165,31.0129801,675,0.162268123,37.35490671,84,0.056516584,41.18178733,184,0.118213239,0.488095238,0.333333333,0.009637465,0.005680102
data/MDE_190.xrdml,7779,125,26.82073959,354,0.0942,26.82073959,FALSE,40,median,0.6,100000,0.01,35.39968823,102,0.048797506,43.91407982,90,0.04595599,22.06409552,52,0.021415182,31.06311391,1879,0.178782284,37.51366377,172,0.153081736,41.2235655,474,0.165196888,0.593023256,0.523255814,0.024398753,0.055813909
data/MDE_203_9.xrdml,7779,131,26.79567268,38,0.0942,26.79567268,FALSE,26,median,0.6,100000,0.01,35.40804387,80,0.079840423,43.89736855,59,0.05107879,22.08080679,37,0.019286324,31.04640264,1789,0.177735769,37.4969525,199,0.042880015,41.25698804,454,0.173609587,0.40201005,0.296482412,0.039920212,0.03910264
data/MDE_214_8.xrdml,7779,58,26.86251776,43,0.0942,26.86251776,FALSE,27,median,0.6,100000,0.01,35.45817767,166,0.133982308,43.88901292,121,0.122713887,22.14765186,65,0.090350796,31.07146954,2934,0.165332347,37.48859687,284,0.161304569,41.24027677,737,0.177179326,0.584507042,0.426056338,0.066991154,0.064169544
data/MDE_223_8.xrdml,7779,249,26.16900009,29,0.0942,26.16900009,FALSE,25,median,0.6,100000,0.01,35.45817767,69,0.012574603,43.9809249,57,0.017517961,22.2061413,45,0.015681423,31.06311391,1250,0.172159424,37.5220194,124,0.12747273,41.26534367,326,0.161393925,0.556451613,0.459677419,0.006287301,0.055813909
data/MDE_246_2.xrdml,7779,193,26.31940151,27,0.0942,26.83745086,FALSE,38,median,0.6,100000,0.01,35.45817767,79,0.043203936,43.84723475,47,0.031576735,22.1810744,71,0.01566766,31.05475827,1537,0.182736465,37.44681869,150,0.134047613,41.25698804,360,0.146223604,0.526666667,0.313333333,0.021601968,0.047458275
data/MDE_255.xrdml,7779,361,26.81238395,919,0.0942,26.81238395,FALSE,78,median,0.6,100000,0.01,35.42475514,49,0.063616763,43.82216784,44,0.017825354,22.07245115,50,0.012882264,31.02133574,1032,0.178830686,37.40504052,105,0.046277126,41.24863241,238,0.192485288,0.466666667,0.419047619,0.031808381,0.014035737
data/MDE_266_2.xrdml,7779,155,26.9210072,39,0.0942,26.82073959,FALSE,68,median,0.6,100000,0.01,35.46653331,90,0.04836984,43.91407982,90,0.048019167,22.14765186,43,0.056879241,31.07146954,1588,0.175354774,37.48024123,155,0.152100682,41.26534367,351,0.162199008,0.580645161,0.580645161,0.02418492,0.064169544
data/MDE_277_4.xrdml,7779,298,26.37789096,25,0.0942,26.03530994,FALSE,26,median,0.6,100000,0.01,35.40804387,59,0.013704531,43.72190023,52,0.008355635,22.01396171,34,0.009075948,31.00462447,1070,0.18657066,37.46352996,124,0.106680078,41.19014296,298,0.167546541,0.475806452,0.419354839,0.006852266,-0.002675533
data/MDE_278.xrdml,7779,114,27.45576781,23,0.0942,26.02695431,FALSE,26,median,0.6,100000,0.01,35.34955442,78,0.026976763,43.86394601,56,0.039132222,22.10587369,40,0.043789714,31.00462447,1880,0.180972404,37.41339615,129,0.16326064,41.1984986,375,0.172689415,0.604651163,0.434108527,0.013488381,-0.002675533
data/MDE_280_7_geo5.xrdml,7779,722,27.26358822,26,0.0942,26.67033816,TRUE,209,median,0.6,100000,0.01,35.61693473,37,0.008594367,43.91407982,34,0.028620761,22.11422932,31,0.010653434,31.05475827,491,0.165244777,37.50530813,52,0.027852115,41.1984986,162,0.117652588,0.711538462,0.653846154,0.004297183,0.047458275
data/MDE_280_7_scan2.xrdml,7779,497,26.46980294,37,0.0942,26.46980294,TRUE,311,median,0.6,100000,0.01,35.39968823,52,0.012505966,43.87230165,51,0.010039267,22.08080679,32,0.015736445,31.03804701,795,0.178915699,37.50530813,80,0.086470105,41.2235655,228,0.150438724,0.65,0.6375,0.006252983,0.030747006
data/MDE_284_2.xrdml,7779,256,26.79567268,25,0.0942,26.79567268,TRUE,176,median,0.6,100000,0.01,35.4163995,62,0.037564184,43.7887453,60,0.027954796,22.10587369,43,0.014153938,30.97120193,1151,0.17093486,37.44681869,120,0.150792328,41.17343169,325,0.176683508,0.516666667,0.5,0.018782092,-0.036098071
data/MDE_284_5.xrdml,7779,808,26.68704943,38,0.0942,26.68704943,FALSE,22,median,0.6,100000,0.01,35.31613189,26,0.054949902,43.87230165,31,0.014434811,22.09751805,55,0.009284038,30.97955756,386,0.183501431,37.35490671,58,0.04627736,41.18178733,99,0.055884793,0.448275862,0.534482759,0.027474951,-0.027742436
data/MDE_287_5.xrdml,7779,45,26.82073959,30,0.0942,26.82073959,FALSE,81,median,0.6,100000,0.01,35.40804387,140,0.162365588,43.85559038,97,0.100107767,22.08080679,57,0.022099704,31.02969137,3307,0.172834945,37.43010742,259,0.158573033,41.1984986,661,0.174386099,0.540540541,0.374517375,0.081182794,0.022391371
data/MDE_291_1.xrdml,7779,76,26.74553888,236,0.0942,26.74553888,FALSE,59,median,0.6,100000,0.01,35.40804387,122,0.12209038,43.87230165,85,0.112744694,22.06409552,70,0.023243253,30.99626883,2538,0.172886699,37.37997362,194,0.156478247,41.21520987,528,0.173183432,0.628865979,0.43814433,0.06104519,-0.011031167
data/MDE_291_5.xrdml,7779,138,26.78731705,319,0.0942,26.78731705,FALSE,51,median,0.6,100000,0.01,35.33284316,88,0.040073286,43.82216784,95,0.087382695,22.03067298,51,0.025124929,30.9879132,1920,0.175028356,37.42175179,198,0.173100895,41.20685423,538,0.174066685,0.444444444,0.47979798,0.020036643,-0.019386802
data/MDE_292_geo5.xrdml,7779,202,26.72882761,131,0.0942,26.72882761,FALSE,31,median,0.6,100000,0.01,35.34955442,55,0.136157054,43.82216784,53,0.042664712,22.1560075,40,0.010984778,30.96284629,1099,0.179921821,37.34655108,119,0.162555072,41.16507606,246,0.173604082,0.462184874,0.445378151,0.068078527,-0.044453705
data/MDE_292.5_geo5.xrdml,7779,89,26.64527126,271,0.0942,26.64527126,FALSE,36,median,0.6,100000,0.01,35.27435371,92,0.109178344,43.78038967,85,0.036310147,21.97218354,39,0.019322405,30.88764558,1714,0.163529459,37.32983981,172,0.164388027,41.08987535,473,0.163407626,0.534883721,0.494186047,0.054589172,-0.119654416
data/MDE_293.4_geo5.xrdml,7779,80,26.68704943,145,0.0942,26.68704943,FALSE,25,median,0.6,100000,0.01,35.23257554,66,0.070993678,43.7636784,63,0.060731197,22.00560608,54,0.026628343,30.90435685,1665,0.182864238,37.37161798,166,0.130382178,41.07316408,392,0.179230144,0.397590361,0.379518072,0.035496839,-0.102943147
data/MDE_41.xrdml,7779,172,26.84580649,68,0.0942,26.84580649,FALSE,32,median,0.6,100000,0.01,35.40804387,58,0.039151212,43.93079109,49,0.08017037,22.08080679,46,0.020292255,31.05475827,1503,0.168634348,37.51366377,150,0.134770477,41.25698804,307,0.159397035,0.386666667,0.326666667,0.019575606,0.047458275
data/MDE_56_1.xrdml,7779,142,26.87087339,32,0.0942,26.87087339,FALSE,25,median,0.6,100000,0.01,35.48324458,57,0.086316351,43.92243546,47,0.012529473,22.23956384,56,0.011419367,31.11324772,1697,0.17695214,37.5220194,124,0.153662031,41.29041058,315,0.13841015,0.459677419,0.379032258,0.043158176,0.105947716
data/MDE_77.xrdml,7779,253,26.9210072,30,0.0942,26.9210072,FALSE,37,median,0.6,100000,0.01,35.38297696,60,0.013947286,43.91407982,41,0.040290128,22.05573988,31,0.010683677,31.06311391,1202,0.196481131,37.4718856,114,0.126542287,41.20685423,273,0.163331219,0.526315789,0.359649123,0.006973643,0.055813909
data/MDE2_0_4.xrdml,7779,185,26.16064446,34,0.0942,26.16064446,FALSE,26,median,0.6,100000,0.01,35.37462133,62,0.013505297,43.95585799,65,0.01490507,22.07245115,54,0.008781942,31.0129801,1471,0.175912445,37.43010742,143,0.155825173,41.17343169,320,0.172889334,0.433566434,0.454545455,0.006752648,0.005680102
data/MDE2_1_0.xrdml,7779,240,26.50322547,28,0.0942,26.50322547,FALSE,29,median,0.6,100000,0.01,35.36626569,70,0.081218097,43.78038967,49,0.039999382,21.9638279,43,0.008355635,30.99626883,1217,0.171393327,37.43010742,98,0.068741163,41.18178733,287,0.135994583,0.714285714,0.5,0.040609049,-0.011031167
data/MDE2_1_7.xrdml,7779,125,26.75389451,580,0.0942,26.75389451,FALSE,55,median,0.6,100000,0.01,35.34955442,101,0.060474211,43.85559038,71,0.013622099,22.03902861,67,0.015065462,30.97955756,1893,0.181160901,37.37997362,175,0.196051038,41.14836479,374,0.203091458,0.577142857,0.405714286,0.030237106,-0.027742436
data/SB1_CON_ts_g2.xrdml,4787,251,26.86669545,20,0.0942,26.86669545,FALSE,30,median,0.6,100000,0.01,35.42893278,43,0.034663947,43.85141235,21,0.030915848,22.04320633,36,0.079776415,31.05058031,654,0.183636638,37.41757379,84,0.094776204,41.16089804,165,0.165188695,0.511904762,0.25,0.017331973,0.043280312
data/SB1_Conophyton.xrdml,4787,251,26.86669545,20,0.0942,26.86669545,FALSE,30,median,0.6,100000,0.01,35.42893278,43,0.034663947,43.85141235,21,0.030915848,22.04320633,36,0.079776415,31.05058031,654,0.183636638,37.41757379,84,0.094776204,41.16089804,165,0.165188695,0.511904762,0.25,0.017331973,0.043280312
data/SB1_ONC.xrdml,7779,225,27.45576781,21,0.0942,25.90997542,FALSE,30,median,0.6,100000,0.01,35.42475514,57,0.10940659,43.86394601,60,0.048154841,22.00560608,34,0.01443246,31.02969137,1209,0.15762698,37.43010742,155,0.11772683,41.2235655,300,0.172719761,0.367741935,0.387096774,0.054703295,0.022391371
data/SB1_Pisolite.xrdml,7779,225,27.45576781,21,0.0942,25.90997542,FALSE,30,median,0.6,100000,0.01,35.42475514,57,0.10940659,43.86394601,60,0.048154841,22.00560608,34,0.01443246,31.02969137,1209,0.15762698,37.43010742,155,0.11772683,41.2235655,300,0.172719761,0.367741935,0.387096774,0.054703295,0.022391371
data/SB2_Fan.xrdml,7779,140,26.48651421,27,0.0942,26.48651421,FALSE,25,median,0.6,100000,0.01,35.3913326,83,0.128302967,43.88065728,72,0.087493135,22.09751805,41,0.05417772,31.00462447,1620,0.167749115,37.42175179,163,0.175561747,41.19014296,418,0.178695634,0.509202454,0.441717791,0.064151484,-0.002675533
