Dolomite_hkl,2theta,height,fwhm
(012),23.240350085292523,95.0,
(104),31.144780312014213,1445.0,0.3200471585146012
(006),36.091315929582116,63.0,
(015),38.53116120040953,58.0,
(113),41.154830429997915,314.0,0.5415843754707623
(202),45.85069701289177,58.0,10.677621336641963
(018),50.49642978885082,205.0,1.45717053398824
(116),50.98105658922064,277.0,1.1607690281713943
(021),60.97439543822608,43.0,5.1617131000309655
