Quartz_hkl,2theta,height,fwhm
(100),20.867349890378186,102.0,
(101),26.599315149924784,79.0,
(110),36.59265399893022,76.0,2.303273865729132
(102),39.433569725236104,64.0,
(112),50.145493140307146,86.0,2.9371954237147904
(211),59.80460660974718,69.0,1.6182125369401206
(203),68.12681856092563,52.0,1.5708592839573754
