Quartz_hkl,2theta,height,fwhm
(100),20.8213939915351,163.0,
(101),26.661982530311136,111.0,
(110),36.53834254867061,87.0,
(102),39.354191386392394,130.0,1.2449895454615572
(112),50.16638247248137,137.0,5.086386028764494
(211),59.825495992975064,133.0,1.1127525467606532
(203),68.13099671907432,71.0,6.05555622722364
