Dolomite_hkl,2theta,height,fwhm
(012),23.169327295392133,149.0,
(104),31.11553573655953,2772.0,0.38237196222343783
(006),36.01193757307277,101.0,
(015),38.485205394929295,115.0,
(113),41.14229717651839,451.0,0.7221022323578694
(202),45.788029977032664,120.0,7.9202131337304635
(018),50.53403039194652,419.0,1.5309305881070259
(116),50.98523465674467,464.0,1.3928165283128422
(021),60.94515102043714,87.0,
